title,date,journal,author
Semi-reward Function Problems in Reinforcement Learning,2024.7.1,CSEIT 2024,"Dong-geon Lee, Hyeoncheol Kim"
MonaCoBERT: Monotonic attention based ConvBERT for Knowledge Tracing,2024.6.1,International Conference on Intelligent Tutoring Systems 2024,"Unggi Lee, Yonghyun Park, Yujin Kim, Seongyune Choi, Hyeoncheol Kim"
Difficulty-Focused Contrastive Learning for Knowledge Tracing with a Large Language Model-Based Difficulty Prediction,2024.5.1,LREC-Coling 2024,"Unggi Lee, Sungjun Yoon, Joon Seo Yun, Kyoungsoo Park, YoungHoon Jung, Damji Stratton, Hyeoncheol Kim"
"Can ChatGPT be a Debate Partner? Developing ChatGPT-based Application 'DEBO' for Debate Education, Findings and Limitations",2024.4.1,Educational Technology & Society,"Unggi Lee, Yeil Jeong, Junbo Koh, Gyuri Byun, Yunseo Lee, Youngsun Hwang, Hyeoncheol Kim, Cheolil Lim"
교육생태계 기반 초·중등 SW·AI 교육 지원 전략 연구,2024.1.1,컴퓨터교육학회 논문지,"곽소아, 장연주, 최승윤, 박선우, 김현철"
Generative Agent for Teacher Training: Designing Educational Problem-Solving Simulations with Large Language Model-based Agents for Pre-Service Teachers,2023.12.1,NeurIPS'23 Workshop on Generative AI for Education (GAIED),"Unggi Lee, Sanghyeok Lee, Junbo Koh, Yeil Jeong, Haewon Jung, Gyuri Byun, Yunseo Lee, Jewoong Moon, Jieun Lim, Hyeoncheol Kim"
일반 교원을 위한 인공지능 소양 프레임워크 개발,2023.11.1,컴퓨터교육학회 논문지,"정기민, 김수환, 김현철"
Few-shot is enough: exploring ChatGPT prompt engineering method for automatic question generation in english education,2023.10.31,Education and Information Technologies,"Unggi Lee, Haewon Jung, Younghoon Jeon, Younghoon Sohn, Wonhee Hwang, Jewoong Moon, Hyeoncheol Kim"
Prompt Aloud!: Incorporating image-generative AI into STEAM class with learning analytics using prompt data,2023.9.18,Education and Information Technologies,"Unggi Lee, Ariel Han, Jeongjin Lee, Eunseo Lee, Jiwon Kim, Hyeoncheol Kim, Cheolil Lim"
프로그래밍 학습을 위한 LLM 기반 코드 리뷰 학습 환경 개발,2023.9.1,컴퓨터교육학회 논문지,"Seongyune Choi, Dong-geon Lee, Jungu Kim, Yeonju Jang, Hyeoncheol Kim"
The SNS-based E-mentoring and Development of Computational Thinking for Undergraduate Students in an Online Course,2023.4.1,Educational Technology & Society,"Yeonju Jang, Seongyune Choi, Seonghun Kim, Hyeoncheol Kim"
Exploring factors influencing students' intention to use intelligent personal assistants for learning,2023.3.1,International Journal of Human-Computer Interaction,"Seongyune Choi, Yeonju Jang, Hyeoncheol Kim"
(ET&S)의 special issue 'technology computational thinking 를 활용한 development' 2022 The effect of team-based programming education using multiuser virtual environment on student engagement and achievement,2023.1.1,컴퓨터교육학회 학술대회,곽소아
초등 인공지능 교육에서 '생각에 대한 생각' 교육방법의 적용 연구,2023.1.1,한국컴퓨터교육학회논문지,"신하은, 김현철"
A Deep Learning Approach to Imputation of Dynamic Pupil Size Data and Prediction of ADHD,2022.12.1,International Journal on Artificial Intelligence Tools,"Seongyune Choi, Yeonju Jang, Hyeoncheol Kim"
Development and validation of an instrument to measure undergraduate students' attitudes toward the ethics of artificial intelligence (AT-EAI) and analysis of its difference by gender and experience of AI education,2022.5.18,Education and Information Technologies,"Yeonju Jang, Seongyune Choi, Hyeoncheol Kim"
초중등 학생을 위한 인공지능 윤리 교육 프로그램 개발 및 적용,2022.9.1,한국컴퓨터교육학회논문지,"장연주, 최승윤, 조현기, 김현철"
Practical early prediction of students' performance using machine learning and eXplainable AI,2022.6.1,Education and Information Technologies,"Yeonju Jang, Seongyune Choi, Heeseok Jung, Hyeoncheol Kim"
Influence of Pedagogical Beliefs and Perceived Trust on Teachers' Acceptance of Educational Artificial Intelligence Tools,2022.4.19,International Journal of Human-Computer Interaction,"Seongyune Choi, Yeonju Jang, Hyeoncheol Kim"
KPCR: Knowledge Graph Enhanced Personalized Course Recommendation,2022.3.19,AI 2021 (Advances in Artificial Intelligence),"Heeseok Jung, Yeonju Jang, Seonghun Kim, Hyeoncheol Kim"
Feature-Based Interpretation of the Deep Neural Network,2021.11.3,Electronics,"Eun-Hun Lee, Hyeoncheol Kim"
FaceVAE: Generation of a 3D Geometric Object Using Variational Autoencoders,2021.11.14,Electronics,"Sungsoo Park, Hyeoncheol Kim"
3DPlanNet: Generating 3D Models from 2D Floor Plan Images Using Ensemble Methods,2021.11.9,Electronics,"Sungsoo Park, Hyeoncheol Kim"
Analyzing Teacher Competency with TPACK for K-12 AI Education,2021.6.1,KI (Künstliche Intelligenz),"Seonghun Kim, Yeonju Jang, Seongyune Choi, Woojin Kim, Heeseok Jung, Soohwan Kim, Hyeoncheol Kim"
Learning Path Construction Using Reinforcement Learning and Bloom's Taxonomy,2021.7.1,International Conference on Intelligent Tutoring Systems,"Seounghun Kim, Woojin Kim, Hyeoncheol Kim"
DiKT: Dichotomous Knowledge Tracing,2021.6.7,International Conference on Intelligent Tutoring Systems,"Seounghun Kim, Woojin Kim, Heeseok Jung, Hyeoncheol Kim"
지식그래프 기반 맞춤형 강좌 추천,2021.8.13,한국컴퓨터교육학회,"정희석, 장연주, 김성훈, 김현철"
Student Knowledge Prediction for Teacher-Student Interaction,2021.5.18,The Thirty-Fifth AAAI Conference on Artificial Intelligence,"Seonghun Kim, Woojin Kim, Yeonju Jang, Seongyune Choi, Heeseok Jung, Hyeoncheol Kim"
Why and What to Teach: AI Curriculum for Elementary School,2021.5.18,The Thirty-Fifth AAAI Conference on Artificial Intelligence,"Seonghun Kim, Yeonju Jang, Woojin Kim, Seongyune Choi, Heeseok Jung, Soohwan Kim, Hyeoncheol Kim"
Uncertainty of Rules Extracted from Artificial Neural Networks,2021.5.12,Applied Artificial Intelligence,"Hurnjoo Lee, Hyeoncheol Kim"
초등 교사를 위한 인공지능 교육 프로그램 개발,2021.1.21,한국컴퓨터교육학회 학술대회,"장연주, 최승윤, 강윤지, 김경상, 김원유, 김정남, 김학인, 손지원, 장병철, 김한성, 박광현, 전수진, 김현철"
"설명 가능한 AI, 학습 지원 시스템 개발",2021.1.1,컴퓨터교육학회 논문지,"김성훈, 김우진, 장연주, 김현철"
